PROCESSO,COD_ASSUNTO,ASSUNTO,DESIGNACAO,TITULO,DATA_ABERTURA_PROCESSO
2.5.14.518.2011.3-DOT,123,ALTERAÇÃO DE ESTATUTOS,ALTERAÇÃO DE ESTATUTOS DE ASS. PATRONAL,APIMA - ASSOC IND. MOBILIÁRIO E AFINS  (5.388),2011.06.14 00:00:00
2.4.14.528.2011.3-DOT,123,ALTERAÇÃO DE ESTATUTOS,ALTERAÇÃO DE ESTATUTOS DE ASS. SINDICAL,SINDICATO DOS PROFESSORES DA ZONA CENTRO- CE 1.318,2011.06.15 00:00:00
2.5.15.529.2011.6-DOT,120,ELEIÇÃO DE CORPOS GERENTES,ELEIÇÃO DE CORPOS GERENTEES DE ASS. PATRONAL,ASSOCIAÇÃO PORTUGUESA DOS PRODUTORES PROFISSIONAIS DE SEGUROS- CE 5.273,2011.06.15 00:00:00
2.6.17.530.2011.1-DOT,130,ELEIÇÃO DE COMISSÕES DE TRABALHADORES,ELEIÇÃO DE COM. DE TRABALHADORES,"RENAULT RETAIL GROUP CHELAS-COMÉRCIO E REPARAÇÃO DE VEÍCULOS, LDA.-CE 9.446",2011.06.15 00:00:00
2.4.15.532.2011.8-DOT,120,ELEIÇÃO DE CORPOS GERENTES,ELEIÇÃO DE CORPOS GERENTES DE ASS. SINDICAL,SINDICATO DOS PROFESSORES DO NORTE- CE 1.411,2011.06.16 00:00:00
2.6.17.555.2011.8-DOT,130,ELEIÇÃO DE COMISSÕES DE TRABALHADORES,ELEIÇÃO DE COM. DE TRABALHADORES,COMISSAO DE TRABALHADORES DO BPI (490) SUBSTITUIÇÃO,2011.06.22 00:00:00
2.6.14.585.2011.8-DOT,123,ALTERAÇÃO DE ESTATUTOS,ALT. ESTATUTOS C. TRAB.,"EDP - GESTÃO DA PRODUÇÃO DE ENERGIA, SA- CE 9.411",2011.07.04 00:00:00
2.6.17.587.2011.4-DOT,130,ELEIÇÃO DE COMISSÕES DE TRABALHADORES,ELEIÇÃO DE COM. DE TRABALHADORES,"OLÁ, SA - PRODUÇÃO DE GELADOS E OUTROS PRODUTOS ALIMENTARES- CE 9.113",2011.07.04 00:00:00
2.6.17.592.2011.0-DOT,135,ELEIÇÃO DE REPRESENTANTES PARA A SHST,ELEIÇÃO DE COM. DE TRABALHADORES,EDP-GESTÃO DA PRODUÇÃO DE ENERGIA- CE 9.411,2011.07.04 00:00:00
2.5.14.599.2011.3-DOT,123,ALTERAÇÃO DE ESTATUTOS,ALTERAÇÃO DE ESTATUTOS DE ASS. PATRONAL,ASSOCIAÇÃO NACIONAL DOS INDUSTRIAIS DE ARROZ - CE 5.11,2011.07.06 00:00:00
2.5.15.601.2011.6-DOT,120,ELEIÇÃO DE CORPOS GERENTES,ELEIÇÃO DE CORPOS GERENTEES DE ASS. PATRONAL,ASSOCIAÇÃO NACIONAL DOS INDUSTRIAIS DE ARROZ - CE 5.11,2011.07.06 00:00:00
2.5.14.613.2011.8-DOT,123,ALTERAÇÃO DE ESTATUTOS,ALTERAÇÃO DE ESTATUTOS DE ASS. PATRONAL,ASSOCIAÇÃO PORTUGUESA DOS PRODUTORES DE CERVEJA- 5.453,2011.07.08 00:00:00
2.5.15.614.2011.1-DOT,120,ELEIÇÃO DE CORPOS GERENTES,ELEIÇÃO DE CORPOS GERENTEES DE ASS. PATRONAL,ASSOCIAÇÃO PORTUGUESA DOS PRODUTORES DE CERVEJA-CE5.453,2011.07.08 00:00:00
2.6.14.642.2011.2-DOT,123,ALTERAÇÃO DE ESTATUTOS,ALT. ESTATUTOS C. TRAB.,"PORTUCEL EMB.-EMP.PROD. DE EMB.DE CARTÃO,SA PASSA A ""EUROPA&C EMB.PROD.EMBAL.CARTÃO,SA - 9.339",2011.07.18 00:00:00
2.6.17.263.2011.4-DOT,130,ELEIÇÃO DE COMISSÕES DE TRABALHADORES,ELEIÇÃO DE COM. DE TRABALHADORES,"EMP. ALMINA-MINAS DO ALENTEJO,S.A.",2011.03.28 00:00:00
2.4.14.286.2011.4-DOT,123,ALTERAÇÃO DE ESTATUTOS,ALTERAÇÃO DE ESTATUTOS DE ASS. SINDICAL,2º PROCº-STAEC-SINDICATO DOS TÉCNICOS DE ACTIVIDADE DE ENRIQUECIMENTO CURRICULAR- CE 1.595,2011.04.06 00:00:00
2.4.14.287.2011.5-DOT,123,ALTERAÇÃO DE ESTATUTOS,ALTERAÇÃO DE ESTATUTOS DE ASS. SINDICAL,SIAP- SINDICATO INDEPENDENTE DOS AGENTES DE POLÍCIA- CE 1.542,2011.04.06 00:00:00
2.6.14.290.2011.1-DOT,123,ALTERAÇÃO DE ESTATUTOS,ALT. ESTATUTOS C. TRAB.,TABAQUEIRA EMPRESA INDUSTRIAL DE TABACOS- CE 9.214,2011.04.07 00:00:00
2.6.14.291.2011.2-DOT,123,ALTERAÇÃO DE ESTATUTOS,ALT. ESTATUTOS C. TRAB.,"EFACEC - ENGENHARIA E SISTEMAS, SA - CE 9.287",2011.04.07 00:00:00
2.4.14.300.2011.0-DOT,123,ALTERAÇÃO DE ESTATUTOS,ALTERAÇÃO DE ESTATUTOS DE ASS. SINDICAL,"STAAE ZN - SINDICATO DOS TÉCNICOS SUPERIORES, ASSISTENTES E AUXILIARES DE EDUCAÇÃO DA ZONA NORTE-CE 1.495",2011.04.11 00:00:00
2.6.14.304.2011.6-DOT,123,ALTERAÇÃO DE ESTATUTOS,ALT. ESTATUTOS C. TRAB.,"REFER ¿ REDE FERROVIÁRIA NACIONAL, E. P- CE 9.498",2011.04.12 00:00:00
2.6.16.308.2011.3-DOT,132,ESTATUTOS,CONSTITUIÇÃO E ESTATUTOS DE COM. TRABALHADORES,ABERTO INDEVIDAMENTE,2011.04.13 00:00:00
2.5.13.309.2011.0-DOT,132,ESTATUTOS,CONSTITUIÇÃO DE ASS. PATRONAL,ADCP-ASSOCIAÇÃO DE ADEGAS COOPERATIVAS DE PORTUGAL- CE 5.601,2011.04.13 00:00:00
2.5.15.312.2011.5-DOT,120,ELEIÇÃO DE CORPOS GERENTES,ELEIÇÃO DE CORPOS GERENTEES DE ASS. PATRONAL,APEQ-ASSOCIAÇÃO PORTUGUESA DAS EMPRESAS QUÍMICAS- CE 5.86,2011.04.13 00:00:00
2.5.15.313.2011.6-DOT,120,ELEIÇÃO DE CORPOS GERENTES,ELEIÇÃO DE CORPOS GERENTEES DE ASS. PATRONAL,AIM-ASSOCIAÇÃO DOS INDUSTRIAIS DE MOAGEM- CE 5.239,2011.04.14 00:00:00
2.4.15.330.2011.4-DOT,120,ELEIÇÃO DE CORPOS GERENTES,ELEIÇÃO DE CORPOS GERENTES DE ASS. SINDICAL,SIND TÊXTIL DO MINHO E TRÁS-OS-MONTES (1.124),2011.04.18 00:00:00
2.5.15.337.2011.3-DOT,133,SUBSTITUIÇÃO,ELEIÇÃO DE CORPOS GERENTEES DE ASS. PATRONAL,ANL -ASSOCIAÇÃO NACIONAL DOS LABORATÓRIOS CLÍNICOS- CE 5.573,2011.04.19 00:00:00
2.4.14.246.2011.0-DOT,123,ALTERAÇÃO DE ESTATUTOS,ALTERAÇÃO DE ESTATUTOS DE ASS. SINDICAL,2º PROCº.SMD - SINDICATO DOS MÉDICOS DENTISTAS - CE 1.596,2011.03.22 00:00:00
2.6.14.257.2011.4-DOT,123,ALTERAÇÃO DE ESTATUTOS,ALT. ESTATUTOS C. TRAB.,"COMPANHIA LOGISTICA DE TERMINAIS MARÍTIMOS, SA - CE 9.683",2011.03.28 00:00:00
2.4.14.259.2011.4-DOT,123,ALTERAÇÃO DE ESTATUTOS,ALTERAÇÃO DE ESTATUTOS DE ASS. SINDICAL,2º PROCº-SINDICATO NACIONAL DOS ENGENHEIROS E ARQUITECTOS(SNEA)- CE 1.15,2011.03.28 00:00:00
2.4.14.298.2011.7-DOT,123,ALTERAÇÃO DE ESTATUTOS,ALTERAÇÃO DE ESTATUTOS DE ASS. SINDICAL,SINDICATO NACIONAL DA ACTIVIDADE TURISTICA TRADUTORES E INTÉRPRETES- CE 1.2,2011.04.08 00:00:00
2.5.14.321.2011.4-DOT,123,ALTERAÇÃO DE ESTATUTOS,ALTERAÇÃO DE ESTATUTOS DE ASS. PATRONAL,ASSOCIAÇÃO PORTUGUESA DAS EMPRESAS DO SECTOR PRIVADO DE EMPREGO- CE 5.413,2011.04.18 00:00:00
2.5.14.328.2011.2-DOT,123,ALTERAÇÃO DE ESTATUTOS,ALTERAÇÃO DE ESTATUTOS DE ASS. PATRONAL,ASSIMAGRA - ASSOCIAÇÃO PORTUGUESA DOS INDUSTRIAS DE MÁRMORES GRANITOS E RAMOS AFINS- CE 5.124,2011.04.18 00:00:00
2.6.14.329.2011.4-DOT,123,ALTERAÇÃO DE ESTATUTOS,ALT. ESTATUTOS C. TRAB.,"VOLKSWAGEN AUTOEUROPA, LDA - CE 9.349",2011.04.18 00:00:00
2.5.15.339.2011.5-DOT,120,ELEIÇÃO DE CORPOS GERENTES,ELEIÇÃO DE CORPOS GERENTEES DE ASS. PATRONAL,ASSOCIAÇÃO NACIONAL DOS INDUSTRIAIS DE BOTÕES    C.E.5.333,2011.04.19 00:00:00
2.6.14.378.2011.8-DOT,123,ALTERAÇÃO DE ESTATUTOS,ALT. ESTATUTOS C. TRAB.,"FISIPE - FIBRAS SINTÉTICAS DE PORTUGAL, SA- CE 9.19",2011.05.04 00:00:00
2.6.17.379.2011.3-DOT,130,ELEIÇÃO DE COMISSÕES DE TRABALHADORES,ELEIÇÃO DE COM. DE TRABALHADORES,"FISIPE - FIBRAS SINTÉTICAS DE PORTUGAL, SA- CE 9.19",2011.05.04 00:00:00
2.5.15.369.2011.8-DOT,120,ELEIÇÃO DE CORPOS GERENTES,ELEIÇÃO DE CORPOS GERENTEES DE ASS. PATRONAL,ASSOCIAÇÃO PORTUGUESA DE EMPRESAS DE DISTRIBUIÇÃO - APED-5.347,2011.05.02 00:00:00
2.6.17.138.2012.6-DOT,130,ELEIÇÃO DE COMISSÕES DE TRABALHADORES,ELEIÇÃO DE COM. DE TRABALHADORES,"CUF - QUÍMICOS INDUSTRIAIS, SA (9.527)",2012.03.05 00:00:00
2.4.14.906.2011.3-DOT,123,ALTERAÇÃO DE ESTATUTOS,ALTERAÇÃO DE ESTATUTOS DE ASS. SINDICAL,UNIÃO DOS SINDICATOS DE VILA REAL   C.E. 3.3,2011.12.15 00:00:00
2.4.14.123.2012.4-DOT,123,ALTERAÇÃO DE ESTATUTOS,ALTERAÇÃO DE ESTATUTOS DE ASS. SINDICAL,SINDICATO DOS AGENTES TÉCNICOS DE ARQUITECTURA E ENGENHARIA (CE-1.129),2012.02.27 00:00:00
2.4.14.126.2012.7-DOT,123,ALTERAÇÃO DE ESTATUTOS,ALTERAÇÃO DE ESTATUTOS DE ASS. SINDICAL,SINDICATO DOS PROFISSIONAIS DE SEGUROS E AFINS - SINAPSA  (1.187),2012.02.29 00:00:00
2.5.14.147.2012.2-DOT,123,ALTERAÇÃO DE ESTATUTOS,ALTERAÇÃO DE ESTATUTOS DE ASS. PATRONAL,CSP - CONFEDERAÇÃO DE EMPREGADORES DOS SERVIÇOS DE PORTUGAL (CE-8.10),2012.03.08 00:00:00
