Nº Entrada,Data entrada,Entidade Sindical,Entidade Patronal,CAE,NIF,Designação,Início,Fim,Observações,ANO,MÊS
Nº 266,08-Apr,"FESAHT - Federação dos Sindicatos da Agricultura, Alimentação, Bebidas, Hotelaria e Turismo de Portugal","Solnave, SA (nas cantinas dos Centros de Formação do IEFP)",56290,,Empresa,16-Apr,17-Apr,CANCELADA dia 14-4 entrada nº 282,2014,4
419,09-Apr,FP - Sindicato dos Trabalhadores em Funções Públicas e Sociais do Sul e Regiões Autónomas,Instituto Segurança Social (Lojas do Cidadão de Odivelas e Laranjeiras),,,FP,16-Apr,,,2014,4
420,09-Apr,SNTSF - Sindicato Nacional dos Trabalhadores do Sector Ferroviário,"CP - Comboios de Portugal, EPE",49100,,Empresa,25-Apr,04-May,,2014,4
421,09-Apr,"SINTAB - Sindicato dos Trabalhadores de Agricultura e das Indústrias de Alimentação, Bebidas e Tabacos de Portugal ","MODELO CONTINENTE HIPERMERCADOS, SA",47111,,Empresa,17-Apr,30-Apr,,2014,4
Nº 270,09-Apr,STAL - Sindicato Nacional dos Trabalhadores da Administração Local,Indáqua,,,FP,24-Apr,,,2014,4
429,14-Apr,"SITE-CSRA - Sindicato dos Trabalhadores das Indústrias Transformadoras, Energia e Actividades do Ambiente do Centro Sul e Regiões Autónomas","IMPRENSA NACIONAL-CASA DA MOEDA, SA",18120,,Empresa,22-Apr,24-Apr,,2014,4
Nº 279,14-Apr,"SITE-NORTE - Sindicato dos Trabalhadores das Indústrias Transformadoras, Energia e Actividades do Ambiente do Norte","IMPRENSA NACIONAL-CASA DA MOEDA, SA",18120,,Empresa,30-Apr,02-May,,2014,4
434-2 e Nº 283,15-Apr,STIM - Sindicato dos Trabalhadores da Indústria Mineira,Minas da Panasqueira,07290,,Empresa,11-Apr-14,,Plenário,2014,4
434-2 e Nº 283,15-Apr,STIM - Sindicato dos Trabalhadores da Indústria Mineira,Sojitz Beralt,07290,,Empresa,11-Apr-14,,Plenário,2014,4
436,15-Apr,"STAD - Sindicato dos Trabalhadores de Serviços de Portaria, Vigilância, Limpeza, Domésticas e Actividades Diversas",GSET,,,Empresa,30-Apr-14,,,2014,4
438,15-Apr,"SITE-CSRA - Sindicato dos Trabalhadores das Indústrias Transformadoras, Energia e Actividades do Ambiente do Centro Sul e Regiões Autónomas",FRAUENTHAL AUTOMOTIVE AZAMBUJA UNIPESSOAL LDA,25932,,Empresa,23-Apr-14,30-Apr-14,"Greves dias 23, 24, 28,29 e 30-4",2014,4
439,16-Apr,FECTRANS - Federação dos Sindicatos de Transportes e Comunicações ,"COMPANHIA CARRIS DE FERRO DE LISBOA, SA",49310,,Empresa,01-May,31-May,,2014,4
441,16-Apr,SNTSF - Sindicato Nacional dos Trabalhadores do Sector Ferroviário,"CP - Comboios de Portugal, EPE ",49100,,Empresa,03-May,31-May,,2014,4
442,16-Apr,SNTSF - Sindicato Nacional dos Trabalhadores do Sector Ferroviário,CP Carga - Logística e Transportes Ferroviários de Mercadorias SA,49200,,Empresa,03-May,31-May,,2014,4
443,16-Apr,SNTSF - Sindicato Nacional dos Trabalhadores do Sector Ferroviário,"EMEF - Empresa de Manutenção e Equipamento Ferroviário, SA ",33170,,Empresa,03-May,31-May,,2014,4
444-2 e 447,16-Apr,"STITEAAS - Sindicato dos Trabalhadores das Indústrias Transformadoras, Energia e Actividades do Ambiente do Sul ","AMARSUL - VALORIZAÇÃO E TRATAMENTO DE RESÍDUOS SÓLIDOS, SA",38212,,Empresa,30-Apr,02-May,,2014,4
444-2 e 447,16-Apr,"SNTALREPCA - Sindicato Nacional dos Trabalhadores da Administração Local e Regional, Empresas Públicas, Concessionárias e Afins","AMARSUL - VALORIZAÇÃO E TRATAMENTO DE RESÍDUOS SÓLIDOS, SA",38212,,Empresa,30-Apr,02-May,,2014,4
