Nº Entrada,Data entrada,Entidade Sindical,Entidade Patronal,CAE,NIF,Designação,Início,Fim,Observações,ANO,MÊS
496-28,30-Apr,STEC - Sindicato dos Trabalhadores das Empresas do Grupo CGD ,"Sogrupo - Compras e Serviços Partilhados, ACE",,,Empresa,06-May,30-Jun,,2013,4
496-28,30-Apr,STEC - Sindicato dos Trabalhadores das Empresas do Grupo CGD ,"Sogrupo - Sistemas de Informação, ACE",,,Empresa,06-May,30-Jun,,2013,4
496-28,30-Apr,STEC - Sindicato dos Trabalhadores das Empresas do Grupo CGD ,"Sogrupo IV - Gestão de Imóveis, ACE",,,Empresa,06-May,30-Jun,,2013,4
496-28,30-Apr,STEC - Sindicato dos Trabalhadores das Empresas do Grupo CGD ,"Via Directa - Companhia de Seguros, SA",,,Empresa,06-May,30-Jun,,2013,4
496-28,30-Apr,STEC - Sindicato dos Trabalhadores das Empresas do Grupo CGD ,Serviços Sociais da CGD,,,Empresa,06-May,30-Jun,,2013,4
Nº 567,09-May,"SINTAB - Sindicato dos Trabalhadores de Agricultura e das Indústrias de Alimentação, Bebidas e Tabacos de Portugal ","Frilobo - Carqueijeiro & Lobo, Lda / Friquental",,,2 Empresas,09-May,10-May,,2013,4
,30-Apr,"STIHTRSS - SINDICATO DOS TRABALHADORES DA INDÚSTRIA DE HOTELARIA, TURISMO, RESTAURANTES E SIMILARES DO SUL","PORTUGÁLIA RESTAURAÇÃO, SA",56101,,Empresa,03-May,04-May,CANCELADA A 30/4,2013,4
406,01-Apr,SJPF - Sindicato dos Jogadores Profissionais de Futebol ,Jogadores Profissionais de Futebol do Sporting Club Olhanense - 25ª Jornada,,,,07-Apr,,,2013,4
428,09-Apr,SEP - Sindicato dos Enfermeiros Portugueses,"Centro Hospitalar Lisboa Norte, EPE",,,,16-Apr,,Das 8H às 11H,2013,4
429,09-Apr,,"Centro Hospitalar Barreiro Montijo, EPE",,,,23-Apr,,,2013,4
430,09-Apr,,"Centro Hospitalar Setúbal, EPE",,,,23-Apr,,,2013,4
431,09-Apr,,Trab. Da Administração Local e Regional,,,FP,25-Apr,TI,,2013,4
432,10-Apr,SINFB - Sindicato Independente Nacional dos Ferroviários,"REFER - Rede Ferroviária Nacional, EPE",52211,,,24-Apr,,Das 7H às 10H e das 17H às 20H,2013,4
433,10-Apr,APROFER - Associação Sindical dos Profissionais do Comando e do Controlo Ferroviário,"REFER - Rede Ferroviária Nacional, EPE",52211,,,26-Apr,30-Apr,"Greve dias 26, 28 e 30/4",2013,4
434,10-Apr,"SNTSF - Sindicato Nacional dos Trabalhadores do Sector Ferroviário / SINFA - SINDICATO INDEPENDENTE DOS TRABALHADORES FERROVIÁRIOS, DAS INFRAESTRUTURAS E AFINS / SNAQ - Sindicato Nacional dos Quadros Técnicos / SINAFE - Sindicato Nacional dos Ferroviários do Movimento e Afins / SIOFA - Sindicato Independente dos Operacionais Ferroviários e Afins","REFER - REDE FERROVIÁRIA NACIONAL, EPE / REFER TELECOM, SERVIÇOS DE TELECOMUNICAÇÕES, SA / REFER PATRIMÓNIO - ADMINISTRAÇÃO E GESTÃO IMOBILIÁRIA, S.A.",52211 / 61100 / 68200,,,24-Apr,,,2013,4
,,"STAD - Sindicato dos Trabalhadores de Serviços de Portaria, Vigilância, Limpeza, Domésticas e Actividades Diversas",Conforlimpa Tejo Lda. (Hospital Viseu e Figueira da Foz),,,Empresa,02-May,,,2013,4
,,SNTCT - Sindicato Nacional dos Trabalhadores dos Correios e Telecomunicações,"CTT - Correios de Portugal, SA - Centro de Produção Logística do Centro",,,Empresa,10-May,,CES nº 21/13,2013,4
510,03-May,,"Saint Gobain Sekurit Portugal, SA",23120,,Empresa,13-May,18-May,,2013,5
517,07-May,SINDEFER - Sindicato Nacional Democrático da Ferrovia,"EMEF-EMPRESA DE MANUTENÇÃO DE EQUIPAMENTO FERROVIARIO, SA",33170,,Empresa,15-May,,Greve no 2º periodo de trabalho em horario normal e 1º periodo de trabalho em horario por turnos das 14 às 18 horas,2013,5
518,07-May,SICGP - Sindicato Independente do Corpo da Guarda Prisional,Corpo da Guarda Prisional,,,FP,21-May,11-Aug,Greve de 21-5 a 9-6 e de 23-7 a 11-8,2013,5
523,08-May,"SITE SUL - Sindicato dos Trabalhadores das Indústrias Transformadoras, Energia e Actividades do Ambiente do Sul",SINDUFLEX-COMERCIALIZAÇÃO DE CONTENTORES E SISTEMAS INDUSTRIAIS FLEXIVEIS LDA (na Autoeuropa),43290,,Empresa,16-May,TI,,2013,5
524,08-May,SNTSF - Sindicato Nacional dos Trabalhadores do Sector Ferroviário,"EMEF-EMPRESA DE MANUTENÇÃO DE EQUIPAMENTO FERROVIARIO, SA",33170,,Empresa,15-May,,Em determinados horários,2013,5
535,09-May,SNCGP - Sindicato Nacional do Corpo da Guarda Prisional,Corpo da Guarda Prisional,,,FP,21-May,01-Jun,Greve de 21-5 a 9-6 e de 23-7 a 11-8,2013,5
536,09-May,"SITE-CSRA - Sindicato dos Trabalhadores das Indústrias Transformadoras, Energia e Actividades do Ambiente do Centro Sul e Regiões Autónomas",PORTALEX ALUMÍNIO S.A.,24420,,Empresa,20-May,24-May,Greve de 2 horas em cada turno,2013,5
540,13-May,"SITE SUL - Sindicato dos Trabalhadores das Indústrias Transformadoras, Energia e Actividades do Ambiente do Sul",LBC TANQUIPOR S A,52102,,Empresa,27-May,01-Jun,Greve de 4 horas em cada turno,2013,5
541,10-May,FNSTFPS - Federação Nacional dos Sindicatos dos Trabalhadores em Funções Públicas e Sociais ,"Trabalhadores dos Museus, Palácios, Monumentos, Parques/Sítios Arqueológicos e Fundações Nacionais",,,FP,18-May,,,2013,5
542,13-May,,CLEAN SERVICES (no CP Contumil e CP Algueirão),,,,27-May,29-May,,2013,5
543,09-May,STML - Sindicato dos Trabalhadores do Município de Lisboa,"Trabalhadores do Municipio de Lisboa, Fundações e Outros",,,,25-May,,Greve das 13H às 21H,2013,5
544,13-May,,"Trabalhadores da Administração Local e Regional, Estabelecimentos de Ensino, Associações de Bombeiros e IPSS",,,,25-May,,,2013,5
556,15-May,"FESAHT - Federação dos Sindicatos da Agricultura, Alimentação, Bebidas, Hotelaria e Turismo de Portugal","ITAU - INSTITUTO TÉCNICO DE ALIMENTAÇÃO HUMANA, SA / SOLNAVE - RESTAURANTES E ALIMENTAÇÃO, SA / GERTAL - COMPANHIA GERAL DE RESTAURANTES E ALIMENTAÇÃO, SA / EUREST (PORTUGAL)-SOCIEDADE EUROPEIA DE RESTAURANTES LDA / UNISELF SOC RESTAURANTES PUBLICOS E PRIVADOS SA / NOBRECER, FOOD SERVICE, LDA",56290 / 56290 / 56290 / 56290 / 56290 / 56290,,6 Empresas,30-May,,,2013,5
565,17-May,"STAD - Sindicato dos Trabalhadores de Serviços de Portaria, Vigilância, Limpeza, Domésticas e Actividades Diversas","AMBIENTE & JARDIM, S.A (na CP Contumil - Zona Norte, Campolide e Algueirão e Hospitais de Setúbal e Outão)",81210,,Empresa,27-May,29-May,"Greve dia 27-5 na CP Contumil - Zona Norte, Campolide e Algueirão e Hospitais de Setúbal e Outão; dia 28-5 CP Campolide (Turno da noite); de 28 a 29-5 CP Algueirão (Turno Noite)",2013,5
566,17-May,"SINTAB - Sindicato dos Trabalhadores de Agricultura e das Indústrias de Alimentação, Bebidas e Tabacos de Portugal ","Trabalhadores dos Sectores da Alimentação, Agricultura, Silvicultura, Florestas, Hiper's e Supermercados.",,,Sectores,25-May,,,2013,5
567,17-May,"FEVICCOM - Federação Portuguesa dos Sindicatos da Construção, Cerâmica e Vidro","Saint Gobain Sekurit Portugal - Vidro Automóvel, SA",23120,,Empresa,25-May,,Em determinados horários,2013,5
570,21-May,"SINTAB - Sindicato dos Trabalhadores de Agricultura e das Indústrias de Alimentação, Bebidas e Tabacos de Portugal ","DAN CAKE (PORTUGAL), SA",10720,,,04-Jun,,,2013,5
571,21-May,SITRENS - Sindicato Nacional Ferroviário do Pessoal de Trens,"CP - Comboios de Portugal, EPE / CP Carga - Logística e Transportes Ferroviários de Mercadorias SA",49100 / 49200,,2 Empresas,07-Jun,07-Jul,,2013,5
574,23-May,"STIHTRSS - SINDICATO DOS TRABALHADORES DA INDÚSTRIA DE HOTELARIA, TURISMO, RESTAURANTES E SIMILARES DO SUL",Hoteis do Grupo VIP's (13 Hoteis),55111,,Empresa,30-May,,,2013,5
575,23-May,"SITE-CSRA - Sindicato dos Trabalhadores das Indústrias Transformadoras, Energia e Actividades do Ambiente do Centro Sul e Regiões Autónomas / STML - Sindicato dos Trabalhadores do Município de Lisboa","VALORSUL - VALORIZAÇÃO E TRATAMENTO DE RESÍDUOS SÓLIDOS DAS REGIÕES DE LISBOA E OESTE, SA",38212,,,11-Jun,14-May,,2013,5
587,27-May,SNTCT - Sindicato Nacional dos Trabalhadores dos Correios e Telecomunicações,"CTT - Correios de Portugal, SA ",53100,,,07-Jun-13,,,2013,5
588,27-May,,"Educadores de Infância, Docentes do Ensino Básico, Secundário e Superior",,,,17-Jun,,,2013,5
592,27-May,SNCGP - Sindicato Nacional do Corpo da Guarda Prisional,Corpo da Guarda Prisional,,,FP,03-Jun,08-Jun,,2013,5
593,29-May,SNCGP - Sindicato Nacional do Corpo da Guarda Prisional,Corpo da Guarda Prisional,,,FP,13-Jun,22-Jun,CANCELADA DIA 12-6,2013,5
594,29-May,"STEFFAs - Sindicato dos Trabalhadores Civis das Forças Armadas, Estabelecimentos Fabris e Empresas de Defesa","ARSENAL DO ALFEITE, SA",33150,,,30-May,,Das 13:30 às 16:00,2013,5
599,31-May,"SITE-CSRA - Sindicato dos Trabalhadores das Indústrias Transformadoras, Energia e Actividades do Ambiente do Centro Sul e Regiões Autónomas","VALORSUL - VALORIZAÇÃO E TRATAMENTO DE RESÍDUOS SÓLIDOS DAS REGIÕES DE LISBOA E OESTE, SA",38212,,,11-Jun,15-Jun,Greve das 00H de 11-5 as 8H de 12-5 e das 16H de 14-5 as 24H de 15-5,2013,5
557-2,15-May,6 Sindicatos,Metropolitano de Lisboa - EPE,49310,,Empresa,30-May,,,2013,5
557-2,15-May,6 Sindicatos,Metropolitano de Lisboa - EPE,49310,,Empresa,30-May,,,2013,5
573-2,23-May,"SINDEQ - Sindicato Democrático da Energia, Química, Têxtil e Indústrias Diversas","EUROPA&C EMBALAGEM , S.A.",17211,,Empresa,30-May,TI,Greve dia 30-5 e ao TS a partir do mesmo dia por TI,2013,5
573-2,23-May,"FIEQUIMETAL - Federação Intersindical das Indústrias Metalúrgicas, Químicas, Eléctricas, Farmacêutica, Celulose, Papel, Gráfica, Imprensa, Energia e Minas","EUROPA&C EMBALAGEM , S.A.",17211,,Empresa,30-May,TI,Greve dia 30-5 e ao TS a partir do mesmo dia por TI,2013,5
589-2,27-May,STAL - Sindicato Nacional dos Trabalhadores da Administração Local,Trabalhadores do Municipio de Lisboa,,,,10-Jun,16-Jun,,2013,5
589-2,27-May,STAL - Sindicato Nacional dos Trabalhadores da Administração Local,Trabalhadores do Municipio de Lisboa,,,,10-Jun,16-Jun,,2013,5
590-6,27-May,FNE - Federação Nacional de Educação,Professores do Ensino Básico e Secundário,,,,07-Jun,17-Jun,"Dias 7, 11, 12, 13, 14 e 17-6",2013,5
590-6,27-May,FNE - Federação Nacional de Educação,Professores do Ensino Básico e Secundário,,,,07-Jun,17-Jun,"Dias 7, 11, 12, 13, 14 e 17-6",2013,5
590-6,27-May,FNE - Federação Nacional de Educação,Professores do Ensino Básico e Secundário,,,,07-Jun,17-Jun,"Dias 7, 11, 12, 13, 14 e 17-6",2013,5
590-6,27-May,FNE - Federação Nacional de Educação,Professores do Ensino Básico e Secundário,,,,07-Jun,17-Jun,"Dias 7, 11, 12, 13, 14 e 17-6",2013,5
590-6,27-May,FNE - Federação Nacional de Educação,Professores do Ensino Básico e Secundário,,,,07-Jun,17-Jun,"Dias 7, 11, 12, 13, 14 e 17-6",2013,5
590-6,27-May,FNE - Federação Nacional de Educação,Professores do Ensino Básico e Secundário,,,,07-Jun,17-Jun,"Dias 7, 11, 12, 13, 14 e 17-6",2013,5
Nº 542 e 545,5-Mai e 6-Mai,"SITE-NORTE - Sindicato dos Trabalhadores das Indústrias Transformadoras, Energia e Actividades do Ambiente do Norte","Bosch C.M. Portugal, Lda.",,,Empresa,11-May,30-Sep,,2013,5
Nº 543,03-May,"STIHTRSN - Sindicato dos Trabalhadores da Indústria de Hotelaria, Turismo, Restaurantes e Similares do Norte","Solnave, SA",,,Empresa,10-May,,Cancelada em 6-5 (entrada nº 548),2013,5
Nº 550-2,06-May,STRUN - Sindicato dos Trabalhadores de Transportes Rodoviários e Urbanos do Norte ,"Transportes Silva Marques, Lda.",,,Empresa,20-May,22-May,,2013,5
Nº 550-2,06-May,STRUN - Sindicato dos Trabalhadores de Transportes Rodoviários e Urbanos do Norte ,"TRACAR - Transportes de Carga e Comércio, Lda.",,,Empresa,20-May,22-May,,2013,5
Nº 553,07-May,STIANOR - Sindicato dos Trabalhadores das Indústrias de Alimentação do Norte,"Pão do Douro, Lda.",,,Empresa,20-May,31-Dec-14,,2013,5
Nº 555,07-May,"STAD - Sindicato dos Trabalhadores de Serviços de Portaria, Vigilância, Limpeza, Domésticas e Actividades Diversas","Lourilimpeza, Lda. (no SMTUC - Autocarros dos Serviços Municipalizados de Coimbra)",,,Empresa,21-May,22-May,,2013,5
Nº 557,07-May,"STFCMM - SINDICATO DOS TRANSPORTES FLUVIAIS, COSTEIROS, E DA MARINHA MERCANTE","Moveaveiro - Empresa Municipal de Mobilidade, EM",,,Empresa,22-May,,Cancelada em 27-5 (entrada nº 631),2013,5
Nº 558,07-May,"STVCT - SINDICATO DOS TRABALHADORES DO VESTUARIO, CONFEÇÃO E TÊXTIL DA REGIÃO NORTE","Confinca - Comércio e Indústria de Confecções, SA",,,Empresa,20-May,TI,Greve das 11 às 13H e das 14H às 16H,2013,5
Nº 563,08-May,"SITE-NORTE - Sindicato dos Trabalhadores das Indústrias Transformadoras, Energia e Actividades do Ambiente do Norte","Bosch C.M. Portugal, Lda. (no Sector da logística)",,,Empresa,17-May,30-Jun,,2013,5
Nº 564,09-May,STFPSN - Sindicato dos Trabalhadores em Funções Públicas e Sociais do Norte ,"Hospital Santa Maria Maior, EPE / Barcelos",,,FP,24-May,,,2013,5
Nº 575,13-May,"STIHTRSN - Sindicato dos Trabalhadores da Indústria de Hotelaria, Turismo, Restaurantes e Similares do Norte",Solar Residêncial São Gabriel,,,Empresa,18-May,,Cancelada em 20-5 (entrada nº 601),2013,5
Nº 576,13-May,"SITE Centro Norte - Sindicato dos Trabalhadores das Indústrias Transformadoras, Energia e Actividades do Ambiente do Centro Norte",Reditus (na Contacta Center da EDP / Seia),,,Empresa,27-May,,,2013,5
Nº 577,13-May,"SITE Centro Norte - Sindicato dos Trabalhadores das Indústrias Transformadoras, Energia e Actividades do Ambiente do Centro Norte","Fábrica  Papel Cartão  Zarrinha, S.A",,,Empresa,06-Jun,27-Jun,"Greve nos dias: 6, 13, 20 e 27 de Junho de 2013 ( turnos, das 22 horas às 24.00 horas)",2013,5
Nº 578,13-May,SIM - Sindicato Independente dos Médicos,Hospital de Braga (Médicos do Serviço de Anestesia),,,FP,30-May,01-Jun,,2013,5
Nº 584,15-May,SEP - Sindicato dos Enfermeiros Portugueses,"Centro Hospitalar do Alto Ave, EPE (Enfermeiros c/CIT)",,,FP,30-May,31-May,,2013,5
Nº 585,16-May,"SITE-NORTE - Sindicato dos Trabalhadores das Indústrias Transformadoras, Energia e Actividades do Ambiente do Norte","Grozbeckert Portuguesa, Lda.",,,Empresa,24-May,25-May,,2013,5
Nº 591,16-May,STIEC - Sindicato dos Trabalhadores das Indústrias Eléctricas do Norte e Centro ,Preh Portugal Lda.,,,Empresa,25-May,,,2013,5
Nº 593,17-May,"STAD - Sindicato dos Trabalhadores de Serviços de Portaria, Vigilância, Limpeza, Domésticas e Actividades Diversas","Conforlimpa Tejo, SA (no Hospital da Figueira da Foz)",,,Empresa,03-Jun,04-Jun,,2013,5
Nº 594-2,17-May,STRUN - Sindicato dos Trabalhadores de Transportes Rodoviários e Urbanos do Norte ,"TRACAR - Transportes de Carga e Comércio, Lda.",,,Empresa,05-Jun,07-Jun,,2013,5
Nº 594-2,17-May,STRUN - Sindicato dos Trabalhadores de Transportes Rodoviários e Urbanos do Norte ,"Transportes Silva Marques, Lda.",,,Empresa,05-Jun,07-Jun,,2013,5
Nº 602,20-May,"SITE-NORTE - Sindicato dos Trabalhadores das Indústrias Transformadoras, Energia e Actividades do Ambiente do Norte",Preh Portugal Lda.,,,Empresa,30-May,,,2013,5
Nº 603,20-May,"SITE-NORTE - Sindicato dos Trabalhadores das Indústrias Transformadoras, Energia e Actividades do Ambiente do Norte","Motometer Portuguesa, Lda.",,,Empresa,30-May,,,2013,5
Nº 613,22-May,CESP - Sindicato dos Trabalhadores do Comércio Escritórios e Serviços de Portugal,"AENL - Auto Estradas Norte Litoral - Sociedade Concessionária - AENL, SA",,,Empresa,03-Jun,,,2013,5
Nº 614 e 615,22-May,"STIHTRSN - Sindicato dos Trabalhadores da Indústria de Hotelaria, Turismo, Restaurantes e Similares do Norte","Nobrecer, Lda. (nas Cantinas das Escolas EB1 de Santo Tirso)",,,Empresa,30-May,,,2013,5
Nº 621,23-May,"STIHTRSN - Sindicato dos Trabalhadores da Indústria de Hotelaria, Turismo, Restaurantes e Similares do Norte",Solar Residêncial São Gabriel,,,Empresa,01-Jun,03-Jun,,2013,5
Nº 625,24-May,"SITE-NORTE - Sindicato dos Trabalhadores das Indústrias Transformadoras, Energia e Actividades do Ambiente do Norte","CNB/CAMAC - Companhia Nacional de Borracha, SA",,,Empresa,03-Jun,TI,Cancelada em 7-6 (entrada nº 700),2013,5
Nº 626,24-May,"SITE Centro Norte - Sindicato dos Trabalhadores das Indústrias Transformadoras, Energia e Actividades do Ambiente do Centro Norte","Produtos Químicos Sinorgan Portugal, SA",,,Empresa,03-Jun,TI,,2013,5
Nº 637,27-May,SEP - Sindicato dos Enfermeiros Portugueses,"Centro Hospitalar da Cova da Beira, EPE (Enfermeiros c/CIT)",,,FP,,,,2013,5
Nº 641,28-May,STSTA - Sindicato dos Trabalhadores do Sector Têxtil de Aveiro,"Tapeçarias Ferreira de Sá, Lda.",,,Empresa,04-Jun,31-Dec,,2013,5
Nº 658,31-May,"STIHTRSN - Sindicato dos Trabalhadores da Indústria de Hotelaria, Turismo, Restaurantes e Similares do Norte","Nobrecer, Lda. (nas Cantinas das Escolas EB1 de Santo Tirso)",,,Empresa,11-Jun,TI,Cancelada em 6-6 (entrada nº 678),2013,5
Nº 665,03-Jun,"SITE Centro Norte - Sindicato dos Trabalhadores das Indústrias Transformadoras, Energia e Actividades do Ambiente do Centro Norte","Yazaki Saltano de Over, PE, Lda.",,,Empresa,08-Jun,,,2013,5
Nº 666,03-Jun,"STIHTRSN - Sindicato dos Trabalhadores da Indústria de Hotelaria, Turismo, Restaurantes e Similares do Norte",Solar Residêncial São Gabriel,,,Empresa,08-Jun,11-Jun,,2013,5
,31-May-13,SNTCT - Sindicato Nacional dos Trabalhadores dos Correios e Telecomunicações,"CTT - Correios de Portugal, SA (CDP 3040 Coimbra)",53100,,Empresa,17-Jun-13,18-Jun-13,,2013,5
614,04-Jun,"STIHTRSA - SINDICATO DOS TRABALHADORES DA INDÚSTRIA DE HOTELARIA, TURISMO, RESTAURANTES E SIMILARES DO ALGARVE",Hotel Tivoli Marina Vilamoura (Serviços Técnicos),,,Empresa,12-Jun,30/jun,Greve das 7 às 8H e das 19 às 21H,2013,6
616 e Nº?,04-06 e 5-6,SNTCT - Sindicato Nacional dos Trabalhadores dos Correios e Telecomunicações,"CTT - Correios de Portugal, SA (CPL - C Coimbra)",,,Empresa,19-Jun,21/jun,,2013,6
615,04-Jun,"SITE SUL - Sindicato dos Trabalhadores das Indústrias Transformadoras, Energia e Actividades do Ambiente do Sul","Sorel, SA",,,Empresa,17-Jun,TI,Greve das 8 às 19H30,2013,6
639,06-Jun,STAL - Sindicato Nacional dos Trabalhadores da Administração Local e Regional,"ECALMA - Empresa Municipal de Estacionamento e Circulação de Almada, EM",,,FP,21-Jun,26/jun,Greve dias 21/6 e 26/6 das 15H às 17H,2013,6
Nº 668-2,04-Jun,STRUN - Sindicato dos Trabalhadores de Transportes Rodoviários e Urbanos do Norte ,"TRACAR - Transportes de Carga e Comércio, Lda.",,,,20-Jun,9/jul,Greve das 19 de 20-6 às 21 de 22-6 e das 19 de 7-7 às 21 de 9-7,2013,6
Nº 668-2,04-Jun,STRUN - Sindicato dos Trabalhadores de Transportes Rodoviários e Urbanos do Norte ,"Transportes Silva Marques, Lda.",,,,20-Jun,9/jul,Greve das 19 de 20-6 às 21 de 22-6 e das 19 de 7-7 às 21 de 9-8,2013,6
Nº 679,06-Jun,"STFCMM - SINDICATO DOS TRANSPORTES FLUVIAIS, COSTEIROS, E DA MARINHA MERCANTE","Moveaveiro - Empresa Municipal de Mobilidade, EM",,,,21-Jun,,,2013,6
Nº?,06-Jun,STRUN - Sindicato dos Trabalhadores de Transportes Rodoviários e Urbanos do Norte  / SITRA - Sindicato dos Trabalhadores dos Transportes,"STCP - Transportes Colectivos do Porto, S.A.",,,,24-Jun,25/dez,,2013,6
670-4,12-Jun,STE - Sindicato dos Quadros Técnicos do Estado e de Entidades com Fins Públicos,"Trab. Da Administração Pública Central, Local e Regional",,,,27-Jun,,,2013,6
672-4,12-Jun,ASPTC -  Associação Sindical do Pessoal de Tráfego da Carris ,Companhia Carris de Ferro de Lisboa,,,,27-Jun,,,2013,6
674 e Nº 687,12-Jun,STAL - Sindicato Nacional dos Trabalhadores da Administração Local e Regional,"Trab. Da Administração Pública Central, Local e Regional",,,,27-Jun,,,2013,6
715,14-Jun,SEP - Sindicato dos Enfermeiros Portugueses,Enfermeiros,,,,27-Jun,,,2013,6
,,FP - Federação Nacional dos Sindicatos dos Trabalhadores em Funções Públicas e Sociais,Todo o âmbito e área estatutária,,,,27-Jun,,,2013,6
643,11-Jun,"STAD - Sindicato dos Trabalhadores de Serviços de Portaria, Vigilância, Limpezas, Domésticas e Actividades Diversas",Todo o âmbito e área estatutária do Sindicato ,,,,27-Jun,,,2013,6
644,11-Jun,"SITE SUL - Sindicato dos Trabalhadores das Indústrias Transformadoras, Energia e Actividades do Ambiente do Sul",Proposta de Serviços Mínimos da Parmalat para SITE SUL,,,,27-Jun,,,2013,6
645 - 57,11-Jun,SITAVA - Sindicato dos Trabalhadores da Aviação e Aeroportos,AEOROHELICE,,,,27-Jun,,,2013,6
645 - 57,11-Jun,SITAVA - Sindicato dos Trabalhadores da Aviação e Aeroportos,AERO Club,,,,27-Jun,,,2013,6
645 - 57,11-Jun,SITAVA - Sindicato dos Trabalhadores da Aviação e Aeroportos,AEROMEC,,,,27-Jun,,,2013,6
645 - 57,11-Jun,SITAVA - Sindicato dos Trabalhadores da Aviação e Aeroportos,AEROVIP,,,,27-Jun,,,2013,6
645 - 57,11-Jun,SITAVA - Sindicato dos Trabalhadores da Aviação e Aeroportos,AGROAR,,,,27-Jun,,,2013,6
645 - 57,11-Jun,SITAVA - Sindicato dos Trabalhadores da Aviação e Aeroportos,Aigle Azur,,,,27-Jun,,,2013,6
