Nome_Org;Website
SINDICATO DEMOCRATICO DOS TRABALHADORES DAS INDÚSTRIAS QUÍMICAS E AFINS DE PORTUGAL;http://www.sindeq.pt/
SINDICATO DEMOCRATICO DA QUÍMICA E FARMACÊUTICA (INDÚSTRIA E COMÉRCIO);https://dre.tretas.org/dre/284202.related
SINDICATO DOS TRABALHADORES DA CONSTRUÇÃO, MADEIRAS E MÁRMORES DO DISTRITO DE SANTARÉM;http://www.guianet.pt/pt/sindicato-dos-trabalhadores-da-construcao-madeiras-marmores-do-distrito-santarem-220317
SINDICATO NACIONAL DO PESSOAL DA INDÚSTRIA DE DOÇARIA DO DISTRITO DE LISBOA;http://ahpweb.parlamento.pt/Detalhe/?&pesq=&t=5&id=62962&tx=
FEDERAÇAO DOS SINDICATOS DA METALURGIA, METALOMECÂNICA E MINAS DE PORTUGAL;https://www.fiequimetal.pt/index.php/sobre-nos
ASSOCIAÇAO SINDICAL DAS CHEFIAS INTERMÉDIAS DE EXPLORAÇÃO FERROVIÁRIA;http://www.ascef.pt/
SINDICATO DOS TRABALHADORES DA INDÚSTRIA METALÚRGICA E METALOMECÂNICA DO DISTRITO DE LISBOA;https://www.fiequimetal.pt/index.php/sobre-nos
SINDICATO INDEPENDENTE DA CARREIRA DE CHEFE DE POLICIA DA POLÍCIA DE SEGURANÇA PÚBLICA;https://empresite.jornaldenegocios.pt/SINDICATO-INDEPENDENTE-CARREIRA-CHEFES-POLICIA-SICCP.html
SINDICATO DOS JOGADORES PROFISSIONAIS DE FUTEBOL;https://sjogadores.pt/
SINDICATO DOS PINTORES DA CONSTRUÇÃO E REPARAÇÃO NAVAL;https://www.olx.pt/emprego/q-pintor/
ASSOCIAÇÃO SINDICAL DOS OFICIAIS DOS REGISTOS E DO NOTARIADO;https://empresite.jornaldenegocios.pt/ASOR-ASSOCIACAO-SINDICAL-OFICIAIS-REGISTOS-NOTARIADO.html
SINDICATO NACIONAL DOS TRABALHADORES DO SECTOR FERROVIÁRIO;https://sntsf.pt/
SINDICATO NACIONAL DOS ENFERMEIROS DIPLOMADOS;https://www.sep.org.pt/sindicato/apresentacao/
FEDEREÇAO DOS SINDICATOS DA AGRICULTURA, ALIMENTAÇÃO, BEBIDAS, HOTELARIA E TURISMO DE PORTUGAL;http://sindicatos.cgtp.pt/fesaht/
SINDICATO DOS PROFESSORES NO ESTRANGEIRO;https://www.fenprof.pt/SPE/
